snowmelt,area total,type,time
0.31,97,WAIS,February
0.19,4,EAIS,November
9.1,2,AP,November
0.4,17,WAIS,January
0.06,6,EAIS,February
15.57,218,WAIS,January
41.89,201,EAIS,February
1.58,155,AP,December
0.66,17,EAIS,November
16.7,207,WAIS,January
2.54,148,EAIS,January
1.16,3,EAIS,January
0.3,21,AP,December
0.13,26,EAIS,November
0.2,11,EAIS,January
43.2,13,WAIS,February
0.07,2,WAIS,February
4.64,2,AP,February
26.77,214,EAIS,February
0.71,120,EAIS,February
3.61,125,EAIS,January
3.07,52,AP,January
0.56,7,EAIS,January
0.11,4,EAIS,January
2.58,37,EAIS,December
0.57,1,EAIS,February
0.12,7,EAIS,January
0.09,23,AP,February
0.05,9,AP,February
1.95,23,WAIS,December
0.06,28,WAIS,January
0.31,96,WAIS,December
3.23,10,EAIS,December
0.21,10,EAIS,December
0.09,158,AP,November
12.07,3,AP,January
0.53,6,AP,November
22.81,2,WAIS,November
0.43,13,EAIS,November
0.65,19,WAIS,February
0.07,35,EAIS,February
0.49,390,AP,November
0.05,5,WAIS,November
1.49,11,AP,February
0.23,121,AP,February
1.99,470,AP,January
4.07,273,WAIS,November
0.13,35,WAIS,January
0.42,619,EAIS,November
0.07,1,WAIS,November
8.02,327,WAIS,February
1.01,63,WAIS,January
0.39,162,EAIS,December
58.38,23,EAIS,February
1.22,1,EAIS,December
0.53,525,EAIS,February
21.24,16,WAIS,February
1.55,5,AP,February
2.25,3,AP,December
0.19,46,EAIS,February
0.18,1,AP,December
26.58,27,AP,February
0.23,145,AP,December
44.97,1,WAIS,November
19.26,2,EAIS,January
35.47,5,AP,January
0.28,34,EAIS,December
10.93,9,EAIS,November
7.18,17,WAIS,January
0.1,450,WAIS,February
18.14,95,WAIS,January
3.3,5,EAIS,January
3.43,1,AP,January
1.88,177,WAIS,December
16.13,28,AP,December
37.31,19,WAIS,December
5.88,446,WAIS,December
0.09,24,AP,February
13.01,729,AP,December
2.73,150,EAIS,November
0.14,8,EAIS,February
0.22,512,EAIS,November
50.02,1,EAIS,November
0.08,13,EAIS,November
0.06,106,EAIS,November
2.75,367,AP,January
7.18,206,WAIS,November
0.07,63,AP,January
12.78,3,WAIS,December
0.99,5,EAIS,January
2.54,428,EAIS,January
0.1,78,EAIS,February
46.89,5,WAIS,November
0.44,1,AP,November
7.38,46,AP,January
0.26,9,AP,November
26.91,1,EAIS,February
16.56,19,AP,November
0.05,32,EAIS,November
30.74,1,AP,February
9.96,2,WAIS,January
4.35,547,WAIS,January
11.74,26,AP,February
4.04,12,EAIS,February
0.56,17,EAIS,January
0.86,263,AP,January
12.88,18,AP,February
8.39,144,WAIS,January
2.56,3,EAIS,December
1.72,408,EAIS,December
9.51,21,WAIS,November
11.84,17,AP,November
0.87,214,WAIS,January
1.0,1,WAIS,December
8.48,59,AP,February
0.13,608,EAIS,February
3.21,19,WAIS,January
1.84,1,WAIS,January
0.27,2,AP,February
23.96,22,EAIS,February
